source,author,title,description,content,publishedAt,url
Ars Technica,John Timmer,New study takes the Earth’s temperature over a half-billion years,"With one exception, a strong link between carbon dioxide and global temperatures.","Enlarge/ The cycle of building and breaking up of supercontinents seems to drive long-term climate trends.
2
Global temperature records go back less than two centuries. But that doesn't mean we hav… [+4325 chars]",2024-09-20T15:24:51Z,https://arstechnica.com/science/2024/09/new-study-takes-the-earths-temperature-over-a-half-billion-years/
BBC News,,Climate a more fundamental threat than terror - Lammy,Foreign Secretary David Lammy vows to put climate change at the heart of the UK's foreign policy.,"The foreign secretary has said climate change is a more pervasive and fundamental threat than terrorism.
In his maiden speech, 100 days after taking office, David Lammy said the climate issue, along… [+4455 chars]",2024-09-17T13:06:38Z,https://www.bbc.com/news/articles/c62d477yg95o
NPR,The NPR Network,Sustainable eating habits that can help the environment without taking over your life,What we eat plays a role in the health of our environment. Here are some things to consider when trying to make doable changes to improve your impact without breaking the bank.,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
What we eat plays a role in the hea… [+5567 chars]",2024-09-12T12:00:00Z,https://www.npr.org/2024/09/12/g-s1-21786/sustainable-food-vegan-local
NPR,Lauren Sommer,Climate change is coming for your wine,"In California's Napa Valley, the nation's unofficial wine capital, one varietal reigns supreme: cabernet sauvignon. But climate change is threatening the small blue-black grapes for which cabernet sauvignon is named. Increasingly severe heat waves are taking …","In hotter temperatures, cabernet grapes lose their rich red color and produce sweeter, more alcoholic wines.
Ryan Kellman/NPR
Climate change is affecting our food, and our food is affecting the cli… [+2127 chars]",2024-09-09T07:00:59Z,https://www.npr.org/2024/09/09/1198910728/heat-climate-change-wine
Time,Justin Worland,The Market Signal Sent By Trump and Harris on Climate During the Debate,"The debate offered an opportunity to evaluate where climate policy under Trump or Harris, and, to an extent, the market may be going.","(To get this story in your inbox, subscribe to the TIME CO2 Leadership Report newsletter here.)
When President Biden entered the White House in 2021, before his administration had written any new re… [+4282 chars]",2024-09-13T16:04:57Z,https://time.com/7020975/the-market-signal-sent-by-trump-and-harris-on-climate-during-the-debate/
Time,Ayana Elizabeth Johnson,How We Can Move Away From the Climate Brink,Ayana Elizabeth Johnson explores what climate success could look like—if only we let it.,"It will take momentous shifts to ensure a reasonably safe climate future. How can we find the wherewithal and endurance to transform our energy, food, and transportation systems; our buildings, infra… [+14169 chars]",2024-09-17T15:44:20Z,https://time.com/7021972/climate-future-ayana-elizabeth-johnson-essay/
CNET,Erin Gobler,How to Protect Your Home During Hurricanes and Other Major Storms,Hurricanes may be getting stronger due to climate change. We'll show you how to keep yourself and your home safe.,"Though we're nearing the end of hurricane season for the East Coast of the US, an August report from the National Oceanic and Atmospheric Administration predicted four to seven more hurricanes for th… [+5735 chars]",2024-09-25T21:00:07Z,https://www.cnet.com/home/energy-and-utilities/how-to-protect-your-home-during-hurricanes-and-other-major-storms/
Yahoo Entertainment,SETH BORENSTEIN,Pollution of the potent warming gas methane soars and people are mostly to blame,"The amount and proportion of the powerful heat-trapping gas methane that humans spew into the atmosphere is rising, helping to turbocharge climate change, a ...","The amount and proportion of the powerful heat-trapping gas methane that humans spew into the atmosphere is rising, helping to turbocharge climate change, a new study finds.
Tuesdays study finds tha… [+4333 chars]",2024-09-10T07:56:27Z,https://www.yahoo.com/news/pollution-potent-warming-gas-methane-075627841.html
NPR,Rebecca Hersher,"He survived the water, but not the flood","Climate-driven flooding destroyed Tony Calhoun’s home in 2022. But as the water receded, his despair only grew. Now, his family hopes to bring attention to the mental health toll of extreme weather.","If you or someone you know is in crisis, please call, text or chat with the Suicide and Crisis Lifeline at 988.
Tony Calhoun was unique. Anyone who knew him would tell you that.
On one hand, there … [+9303 chars]",2024-09-17T09:00:00Z,https://www.npr.org/2024/09/17/nx-s1-5051826/remembering-kentucky-flood-victim-tony-calhoun
BBC News,,Myanmar hit by deadly floods after Typhoon Yagi,"Myanmar's ruling junta has requested foreign aid as large areas are inundated, state-run media report.","Severe flooding has hit Myanmar after Typhoon Yagi, with more than 230,000 people forced to flee their homes, according to officials.
The country's ruling junta has requested foreign aid to mitigate… [+2028 chars]",2024-09-14T04:55:07Z,https://www.bbc.com/news/articles/ckgn1yrkyppo
BBC News,,King to attend barbecue and meet PM on Australia trip,The King will travel to Australia on his biggest trip overseas since he began treatment for cancer.,"King Charles III and Queen Camilla will sample a traditional barbecue, along with more formal ceremonial engagements, when they visit Australia next month.
The trip will be the King's biggest overse… [+2167 chars]",2024-09-10T15:22:24Z,https://www.bbc.com/news/articles/cp35en2971go
Yahoo Entertainment,RICK BOWMER and MARK THIESSEN,Climate change destroyed an Alaska village. Its residents are starting over in a new town,"Growing up along the banks of the Ninglick River in western Alaska, Ashley Tom would look out of her window after strong storms from the Bering Sea hit her...","MERTARVIK, Alaska (AP) Growing up along the banks of the Ninglick River in western Alaska, Ashley Tom would look out of her window after strong storms from the Bering Sea hit her village and notice s… [+8385 chars]",2024-09-26T13:37:28Z,https://www.yahoo.com/news/climate-change-destroyed-alaska-village-133728537.html
Science Daily,,Report exposes worsening health threats of climate change in UK,"A new report has revealed the wide-ranging and increasing health dangers posed by long-term weather extremes in the UK, as the effects of climate change deepen.","A new report has revealed for the first time the wide-ranging and increasing health dangers posed by long-term weather extremes in the UK, as the effects of climate change deepen.The review, publishe… [+3330 chars]",2024-09-05T18:35:59Z,https://www.sciencedaily.com/releases/2024/09/240905143559.htm
Gizmodo.com,Ed Cara,Invasive Ticks Carrying New Diseases Are Spreading Through the Northeast,Scientists are reporting the first human case of Rickettsia parkeri bacteria in Connecticut and the greater Northeast region.,"New species of ticks are moving to the Northeastern U.S.and bringing along unfriendly visitors with them. In a recent study, scientists have reported the first human case of a particular tickborne ba… [+6371 chars]",2024-10-01T20:41:49Z,https://gizmodo.com/invasive-ticks-carrying-new-diseases-are-spreading-through-the-northeast-2000505769
Yahoo Entertainment,Rod Gilmour,'All politicians should be forced into space to see Earth's beauty',"Rachel Delacour is founder of climate tech firm Sweep. She sold her first company, BIME Analytics,  for $45m in 2015.","Co-founder Rachel Delacour decided to pour all her energy into building carbon management software.
Rachel Delacour is founder of climate tech firm Sweep, which works with brands including LOreal (L… [+4318 chars]",2024-09-13T05:00:04Z,https://uk.finance.yahoo.com/news/climate-tech-sweep-environment-050004481.html
NPR,The NPR Network,Creative ways communities are reducing food waste,"While lots of powerful changes to reduce food waste can start at home, sometimes the scale of the problem benefits from a community-wide approach.","Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
When we started working on this yea… [+4024 chars]",2024-09-15T14:00:00Z,https://www.npr.org/2024/09/15/g-s1-20752/compost-food-waste-community
NPR,Regina G. Barber,Why Astronomy 101 is 'perfect' for teaching climate change,"Years ago, astronomy professors started noticing something that troubled them: Many of their students didn't understand climate change and the science supporting it. So a small group of professors decided to do something about it — teach climate change in the…","Astronomy professors across the country are integrating climate change lessons into one of their most wide-reaching and popular courses: Introduction to Astronomy.
Mark Garlick/Science Photo Library… [+2975 chars]",2024-10-02T07:00:59Z,https://www.npr.org/2024/10/02/1202966835/climate-change-astronomy-college-education
Undark Magazine,Undark Magazine,The Golden Age of offbeat Arctic research,The Cold War spawned some odd military projects that were doomed to fail.,"Enlarge/ At the US Armys Camp Century on the Greenland ice sheet, an Army truck equipped with a railroad wheel conversion rides on 1,300 feet of track under the snow.
2
In recent years, the Arctic … [+3369 chars]",2024-09-08T11:12:24Z,https://undark.org/2024/09/06/wilo-golden-age-offbeat-arctic-research/
The Atlantic,Zoë Schlanger,The Climate Question the Next President Will Have to Answer,How will they help Americans deal with the extreme weather battering the country?,"Tonight’s presidential debate was held while wildfires rage in Nevada, Southern California, Oregon, and Idaho. Louisiana is bracing for a possible hurricane landfall. After a year of floods and storm… [+6862 chars]",2024-09-11T03:50:17Z,https://www.theatlantic.com/science/archive/2024/09/trump-harris-debate-climate-change/679778/
Time,Harry Booth and Video by Joey Lautrup,Cities Are on the Front Line of the ‘Climate-Health Crisis.’ A New Report Provides a Framework for Tackling Its Effects,"Less than a third of cities have a resilience plan that integrates climate and health, a Rockefeller Foundation found. It highlights success stories that could show a path forward.","The World Health Organization (WHO) estimates that extreme heat kills almost half a million people each yearmore than war, terrorism and malnutrition combined. That number is likely to rise as the cl… [+10261 chars]",2024-09-26T16:00:53Z,https://time.com/7024639/cities-climate-health/
Science Daily,,Thinking about the future: Examining the exacerbating and attenuating factors of despair-induced climate burnout,New research explored the exacerbating and attenuating factors of despair-induced climate burnout to learn how people can overcome despair and maintain motivation to fight climate change.,"As the occurrence of weather extremes continues to escalate, the climate change movement now grapples with a new challenge, 'climate burnout'.The troubling trend of despair and fatigue among those wh… [+2762 chars]",2024-09-25T16:36:34Z,https://www.sciencedaily.com/releases/2024/09/240925123634.htm
NPR,The NPR Network,Not sure what to make for dinner? Here are recipes to help you eat sustainably,"Finding meals that are good for you, your wallet and the environment can be difficult. We've pulled together a few recipes to make sustainable choices even easier.","Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
Deciding what to make for dinner ca… [+2254 chars]",2024-09-15T14:00:00Z,https://www.npr.org/2024/09/15/g-s1-21888/recipes-seasonal-plant-based
Slashdot.org,msmash,Europe's Farming Lobbies Recognize Need To Eat Less Meat in Shared Vision Report,"Europe's food and farming lobbies have recognized the need to eat less meat after hammering out a shared vision for the future of agriculture with green groups and other stakeholders. From a report: The wide-ranging report calls for ""urgent, ambitious and fea…","The wide-ranging report calls for ""urgent, ambitious and feasible"" change in farm and food systems and acknowledges that Europeans eat more animal protein than scientists recommend. It says support i… [+1400 chars]",2024-09-04T15:25:00Z,https://news.slashdot.org/story/24/09/04/1449256/europes-farming-lobbies-recognize-need-to-eat-less-meat-in-shared-vision-report
Gizmodo.com,Adam Kovac,Earth Mysteriously Shook for 9 Days Last Year. Scientists Finally Know What Happened.,"The strange, imperceptible tremor mystified geologists, but a vast team of researchers says it has cracked the case.","For over a week in 2023, the planet got the shakes and nobody knew why. Now, geologists believe a fjord in Greenland is to blame for the odd seismological event.
You likely didnt notice the quaverin… [+2814 chars]",2024-09-13T14:05:52Z,https://gizmodo.com/earth-mysteriously-shook-for-9-days-last-year-scientists-finally-know-what-happened-2000498258
Gizmodo.com,Adam Kovac,The Surprising Ingredient That Helped Polynesians Conquer the Pacific,"Ancient Polynesians were encouraged to settle new territories because they had a reliable and hardy crop, new research suggests.","Sweet potatoes are a very versatile tuber. You can roast them. You can bake them into a pie. You can turn them into the third best type of french fry. And apparently, you can make them an integral pa… [+2849 chars]",2024-09-25T23:01:34Z,https://gizmodo.com/the-surprising-ingredient-that-helped-polynesians-conquer-the-pacific-2000503199
Gizmodo.com,James Whitbrook,Lego Promises It’s Keeping Physical Instructions After Survey Backlash,A customer survey suggesting a move to digital-only building instructions was pulled earlier this week after fan fury.,"In recent years Lego has made strides to try and mitigate the impact of its plastic brick empire on the planet, from attempts at making its bricks more environmentally friendly, to slowly bringing in… [+3123 chars]",2024-09-20T16:27:02Z,https://gizmodo.com/lego-digital-instructions-survey-backlash-2000501405
Gizmodo.com,Adam Kovac,New Map Shows Where You’re Most Likely to Encounter Landslides in the US,"Bad news if you're on the West Coast, Alaska, or Puerto Rico. Great news if you live in Florida.","If you see your reflection in the snow covered hills, it might be time to check out a new map from the United States Geological Survey. The map reveals that a surprisingly large part of the country i… [+3449 chars]",2024-09-12T15:55:00Z,https://gizmodo.com/new-map-shows-where-youre-most-likely-to-encounter-landslides-in-the-us-2000498027
The Conversation Africa,"Kyle Hilburn, The Conversation",How Wildfires Create Rain and Change the Weather,"Because wildfires create their own wind patterns, they can also spawn their own weather. Here’s how it works","The following essay is reprinted with permission from The Conversation, an online publication covering the latest research.Wildfire blowups, fire whirls, towering thunderstorms: When fires get large … [+5292 chars]",2024-09-09T19:10:00Z,https://theconversation.com/wildfires-can-create-their-own-weather-including-thunderstorms-and-tornado-like-fire-whirls-an-atmospheric-scientist-explains-how-235845
BBC News,,Smear campaign against celebrity-endorsed nature reserve exposed,How did a Philippine nature reserve get caught up in an information battle?,"A nature reserve in the Philippines, which has been lauded by top climate activists and film stars, has come under a concerted disinformation attack on social media as it fights to continue its work,… [+7624 chars]",2024-09-28T00:18:25Z,https://www.bbc.com/news/articles/cp39zvv6kl4o
Futurity: Research News,James Devitt-NYU,Patriotic messages can boost support for climate change action,"Framing climate action as patriotic and status-quo friendly increases liberals' and conservatives' belief in climate change, research finds.",A new study shows that framing the need to address climate change as patriotic and as necessary to preserve the American “way of life” can increase belief in climate change and support for pro-enviro… [+4004 chars],2024-09-16T18:19:35Z,https://www.futurity.org/climate-change-action-patriotic-liberals-conservatives-3248752/
BBC News,,Mine water could heat thousands of Welsh homes,Energy bills could be cut by low carbon heat schemes which use water from abandoned Welsh coal mines.,"Mine water at the former Six Bells colliery in Abertillery is pumped 40m [131ft] to the surface where it is cleaned and treated
Energy bills could be cut by low carbon heat schemes which use water f… [+4222 chars]",2024-09-10T22:00:10Z,https://www.bbc.com/news/articles/c0l867k70p8o
NPR,Lauren Sommer,Hurricanes are dangerous far from the coast. Communities are struggling to prepare,"Coastal cities often bear the brunt of hurricanes. But as Hurricane Helene showed, extreme rainfall can be life-threatening hundreds of miles away.","Hurricane Helenes destructive path tore across several states, causing the ocean surge on the Florida coast and cutting off power supplies in Georgia. But the heaviest rainfall, and some of the worst… [+6076 chars]",2024-10-02T09:00:00Z,https://www.npr.org/2024/10/01/nx-s1-5133530/hurricane-helene-rain-flooding-climate-change
Slashdot.org,BeauHD,Pacific Islands Submit Court Proposal For Recognition of Ecocide As a Crime,"Vanuatu, Fiji, and Samoa have proposed a change to the International Criminal Court (ICC) to recognize ecocide as a crime, allowing for the prosecution of individuals responsible for significant environmental harm. If successful, the change would recognize ec…","Vanuatu, Fiji and Samoa have proposed a formal recognition by the court of the crime of ecocide, defined as ""unlawful or wanton acts committed with knowledge that there is a substantial likelihood of… [+1987 chars]",2024-09-10T01:25:00Z,https://yro.slashdot.org/story/24/09/09/239227/pacific-islands-submit-court-proposal-for-recognition-of-ecocide-as-a-crime
Abduzeedo.com,abduzeedo,7Analytics: Data-Driven Branding for Climate Solutions,"7Analytics: Data-Driven Branding for Climate Solutions
 


 abduzeedo0918—24

 Discover how Studio Oker crafted a data-inspired branding and visual identity for 7Analytics, a climate tech leader. Explore the fusion of design and data visualization.

Studio O…","Discover how Studio Oker crafted a data-inspired branding and visual identity for 7Analytics, a climate tech leader. Explore the fusion of design and data visualization.
Studio Oker's recent collabo… [+1977 chars]",2024-09-18T16:03:44Z,https://abduzeedo.com/node/88607
Science Daily,,"Climate change likely to increase diarrheal disease hospitalizations by 2100s in Dhaka, Bangladesh","By 2100, hospitalizations from diarrheal diseases are predicted to increase in the city of Dhaka in Bangladesh as a result of climate change, even if global warming stays under 2 degrees Celsius, according to a new study.","By 2100, hospitalizations from diarrheal diseases are predicted to increase in the city of Dhaka in Bangladesh as a result of climate change, even if global warming stays under 2 degrees Celsius. Far… [+2070 chars]",2024-09-26T18:48:44Z,https://www.sciencedaily.com/releases/2024/09/240926144844.htm
Science Daily,,One in two El Niño events could be extreme by mid-century,"Climate change from greenhouse gas emissions could make extreme El Nino events more frequent, according to new research.","With the climate pattern known as El Niño in full force from mid-2023 to mid-2024, global temperatures broke records for 12 months in a row. As one of the strongest El Niño events on record, it was l… [+4839 chars]",2024-09-25T16:36:47Z,https://www.sciencedaily.com/releases/2024/09/240925123647.htm
